"","x"
"800","Coccyzus longirostris"
"801","Coccyzus merlini"
"802","Coccyzus minor"
"803","Coccyzus pluvialis"
"804","Coccyzus rufigularis"
"805","Coccyzus vetula"
"806","Coccyzus vieilloti"
"807","Coeligena bonapartei"
"808","Coeligena helianthea"
"809","Coeligena lutetiae"
"810","Coeligena orina"
"811","Coeligena prunellei"
"812","Coeligena wilsoni"
"813","Coenocorypha aucklandica"
"814","Coenocorypha pusilla"
"815","Coereba flaveola"
"816","Colaptes atricollis"
"817","Colaptes auratus"
"818","Colaptes campestris"
"819","Colaptes fernandinae"
"820","Colaptes melanochloros"
"821","Colaptes pitius"
"822","Colaptes punctigula"
"823","Colaptes rivolii"
"824","Colaptes rubiginosus"
"825","Colaptes rupicola"
"826","Colibri delphinae"
"827","Colibri serrirostris"
"828","Colibri thalassinus"
"829","Colius colius"
"830","Colius leucocephalus"
"831","Colius striatus"
"832","Colluricincla boweri"
"833","Colluricincla harmonica"
"834","Colluricincla woodwardi"
"835","Colonia colonus"
"836","Columbina cruziana"
"837","Columbina minuta"
"838","Columbina picui"
"839","Columbina talpacoti"
"840","Compsospiza baeri"
"841","Compsospiza garleppi"
"842","Conioptilon mcilhennyi"
"843","Copsychus cebuensis"
"844","Copsychus niger"
"845","Coracina abbotti"
"846","Coracina atriceps"
"847","Coracina azurea"
"848","Coracina bicolor"
"849","Coracina boyeri"
"850","Coracina caeruleogrisea"
"851","Coracina caesia"
"852","Coracina ceramensis"
"853","Coracina coerulescens"
"854","Coracina dispar"
"855","Coracina dohertyi"
"856","Coracina fimbriata"
"857","Coracina holopolia"
"858","Coracina incerta"
"859","Coracina larvata"
"860","Coracina leucopygia"
"861","Coracina lineata"
"862","Coracina longicauda"
"863","Coracina macei"
"864","Coracina maxima"
"865","Coracina mcgregori"
"866","Coracina mindanensis"
"867","Coracina morio"
"868","Coracina newtoni"
"869","Coracina ostenta"
"870","Coracina papuensis"
"871","Coracina pectoralis"
"872","Coracina polioptera"
"873","Coracina schistacea"
"874","Coracina striata"
"875","Coracina sula"
"876","Coracina temminckii"
"877","Coracina tenuirostris"
"878","Coracina typica"
"879","Coracopsis nigra"
"880","Coracopsis vasa"
"881","Coracornis raveni"
"882","Coragyps atratus"
"883","Corapipo altera"
"884","Corapipo gutturalis"
"885","Corapipo leucorrhoa"
"886","Corcorax melanorhamphos"
"887","Corvinella corvina"
"888","Corydon sumatranus"
"889","Coryphistera alaudina"
"890","Coryphospingus cucullatus"
"891","Coryphospingus pileatus"
"892","Corythaixoides concolor"
"893","Corythaixoides personatus"
"894","Corythopis delalandi"
"895","Corythopis torquatus"
"896","Coscoroba coscoroba"
"897","Cossypha archeri"
"898","Cossypha caffra"
"899","Cossypha dichroa"
"900","Cossypha heuglini"
"901","Cossypha isabellae"
"902","Cossypha niveicapilla"
"903","Cossypha polioptera"
"904","Cossypha semirufa"
"905","Cossyphicula roberti"
"906","Coturnix coturnix"
"907","Coturnix japonica"
